id,name,host_id,host_name,latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bedroom_count,bathroom_count,bed_count,true_district_Central & Western,true_district_Eastern,true_district_Islands,true_district_Kowloon City,true_district_Kwai Tsing,true_district_Kwun Tong,true_district_North,true_district_Sai Kung,true_district_Sha Tin,true_district_Sham Shui Po,true_district_Southern,true_district_Tai Po,true_district_Tsuen Wan,true_district_Tuen Mun,true_district_Wan Chai,true_district_Wong Tai Sin,true_district_Yau Tsim Mong,true_district_Yuen Long
51718780,Serviced apartment in Hong Kong,209127973,Commune Share,22.28806,114.13844,380.0,14,1,8,322,1,0,0,1,0,1,2.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51720313,Condo in Hong Kong,138649185,Apac,22.2808,114.15374,1500.0,30,0,136,364,0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51721207,Condo in Hong Kong,156409670,Tushita,22.28445,114.19098,996.0,30,2,89,308,2,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51722095,Condo in Hong Kong,156409670,Tushita,22.27762,114.17913,2033.0,30,0,89,364,0,1,0,0,0,2,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51722629,Condo in Hong Kong,156409670,Tushita,22.2858,114.19017,1110.0,30,0,89,364,0,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51739746,Condo in Hong Kong,156409670,Tushita,22.28115,114.15318,1600.0,30,0,89,364,0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51761915,Condo in Hong Kong,156409670,Tushita,22.28276,114.15365,1810.0,30,0,89,364,0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51776392,Condo in Hong Kong,156409670,Tushita,22.28282,114.15336,1600.0,30,0,89,364,0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51777303,Condo in Hong Kong,138649185,Apac,22.28302,114.15231,1700.0,30,0,136,364,0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51777519,Condo in Hong Kong,138649185,Apac,22.28074,114.1524,1500.0,30,0,136,90,0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51804866,Condo in Hong Kong Island,54921788,Benjamin,22.26659,114.18729,2059.0,28,22,2,168,10,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51829698,Guesthouse in Hong Kong,54924991,Raymond,22.30478,114.17289,571.0,1,6,8,347,6,1,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51834937,Condo in Hong Kong,138649185,Apac,22.27764,114.17931,1313.0,30,0,136,364,0,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51835948,Condo in Hong Kong,138649185,Apac,22.27957,114.18057,1133.0,30,0,136,364,0,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51856181,Condo in Hong Kong,156409670,Tushita,22.27936,114.17912,1233.0,30,0,89,364,0,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51874677,Condo in Hong Kong,156409670,Tushita,22.27788,114.18049,1413.0,30,0,89,364,0,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51876831,Condo in Hong Kong,156409670,Tushita,22.28771,114.15181,1050.0,30,0,89,364,0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51877701,Serviced apartment in Hong Kong,138649185,Apac,22.28712,114.19388,2000.0,30,0,136,364,0,1,0,0,0,2,1.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51898056,Condo in Hong Kong,156409670,Tushita,22.2879,114.19434,1970.0,30,0,89,364,0,1,0,0,0,2,1.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51899126,Condo in Hong Kong,138649185,Apac,22.27576,114.173,2167.0,28,0,136,364,0,1,0,0,0,2,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51935424,Condo in Hong Kong,7412127,Jay,22.23527,114.19891,3380.0,1,19,2,45,11,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51952430,Aparthotel in Hong Kong,50172398,Gloria,22.30688,114.17278,540.0,1,15,30,351,11,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51952729,Condo in Hong Kong,138649185,Apac,22.28483,114.15176,800.0,30,0,136,364,0,1,0,0,0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51970662,Condo in Hong Kong,24358640,Janis,22.31661,114.17074,238.0,7,0,90,0,0,0,0,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51980307,Cottage in Hong Kong,84649473,Aqua,22.20657,114.1319,702.0,1,44,2,24,1,1,0,0,0,1,1.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51997217,Condo in Hong Kong,109310747,Brenda,22.20616,114.02816,779.0,1,1,35,42,0,1,0,0,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51997505,Condo in Hong Kong,109310747,Brenda,22.20628,114.02832,456.0,1,1,35,42,0,1,0,0,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51997646,Condo in Hong Kong,109310747,Brenda,22.20491,114.02643,693.0,1,5,35,40,2,1,0,0,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51999327,Condo in Hong Kong,138649185,Apac,22.28927,114.19715,1100.0,30,0,136,364,0,1,0,0,0,1,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52020863,Condo in Hong Kong,156409670,Tushita,22.28921,114.19269,1000.0,30,0,89,364,0,1,0,0,0,1,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52021605,Condo in Hong Kong,156409670,Tushita,22.29934,114.17165,2400.0,30,0,89,364,0,1,0,0,0,2,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52022265,Condo in Hong Kong,156409670,Tushita,22.27439,114.16993,1400.0,30,0,89,364,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52042692,Serviced apartment in Hong Kong,23316632,Tanis,22.22922,113.92998,1257.0,2,23,1,109,4,1,0,0,0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52045753,Rental unit in Hong Kong,118783198,Martin,22.28751,114.14953,1750.0,1,11,1,0,0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52049212,Condo in Hong Kong,138649185,Apac,22.29072,114.19682,1450.0,30,0,136,364,0,1,0,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52049781,Condo in Hong Kong,138649185,Apac,22.28923,114.19667,2000.0,30,0,136,364,0,1,0,0,0,2,2.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52050692,Condo in Hong Kong,156409670,Tushita,22.2994,114.17167,1030.0,30,0,89,364,0,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52051596,Condo in Hong Kong,156409670,Tushita,22.29859,114.17321,1470.0,30,0,89,364,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52066598,Condo in Hong Kong,156409670,Tushita,22.28367,114.15411,1500.0,30,0,89,364,0,1,0,0,0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52066867,Condo in Hong Kong,156409670,Tushita,22.28313,114.15177,1633.0,30,0,89,364,0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52067168,Condo in Hong Kong,156409670,Tushita,22.28203,114.15362,2800.0,30,0,89,364,0,1,0,0,0,2,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52068808,Rental unit in Hong Kong,3446687,Steffi,22.28455,114.14812,807.0,1,2,1,172,1,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52097606,Condo in Hong Kong,24358640,Janis,22.31582,114.16914,368.0,1,0,90,0,0,0,0,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52100110,Condo in Hong Kong,138649185,Apac,22.29716,114.17329,2500.0,30,0,136,364,0,1,0,0,0,2,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52100535,Condo in Hong Kong,138649185,Apac,22.27577,114.16989,1500.0,30,0,136,364,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52154263,Condo in Hong Kong,76842963,Sooyeon,22.27605,114.17287,1100.0,14,0,1,0,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52174036,Serviced apartment in Hong Kong,14861546,Tane Residence,22.32905,114.18786,320.0,30,0,121,365,0,0,0,1,0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52178864,Condo in Hong Kong,24358640,Janis,22.31621,114.1704,258.0,3,0,90,0,0,0,0,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52179096,Condo in Hong Kong,24358640,Janis,22.31732,114.17077,298.0,7,0,90,0,0,0,0,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52232237,Condo in Hong Kong,156409670,Tushita,22.28949,114.19495,1040.0,30,0,89,364,0,1,0,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52232554,Condo in Hong Kong,156409670,Tushita,22.2895,114.19512,1900.0,30,0,89,364,0,1,0,0,0,2,2.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52232840,Condo in Hong Kong,138649185,Apac,22.29861,114.17133,1100.0,30,0,136,364,0,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52252629,Condo in Hong Kong,156409670,Tushita,22.27943,114.18059,1380.0,30,0,89,364,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52253555,Condo in Hong Kong,138649185,Apac,22.27588,114.17168,1213.0,30,0,136,364,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52272709,Condo in Hong Kong,138649185,Apac,22.27599,114.1705,993.0,30,0,136,364,0,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52274031,Condo in Hong Kong,138649185,Apac,22.2767,114.17231,1096.0,30,0,136,364,0,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52274543,Condo in Hong Kong,138649185,Apac,22.27594,114.17049,1300.0,30,0,136,364,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52295948,Rental unit in Hong Kong,138649185,Apac,22.28652,114.15221,710.0,28,0,136,364,0,1,0,0,0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52307206,Rental unit in Hong Kong,4115228,Louise,22.28257,114.15102,940.0,5,4,1,13,3,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52311712,Rental unit in Hong Kong,198109516,Apple,22.28213,114.1824,300.0,28,0,101,48,0,0,0,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52340765,Home in Cheung Chau,423635149,Frank'S,22.21199,114.02711,1884.0,2,45,1,116,12,1,0,0,0,2,1.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52395141,Condo in Hong Kong,138649185,Apac,22.29935,114.17159,1570.0,30,0,136,364,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52411172,Serviced apartment in Hong Kong,209127973,Commune Share,22.27782,114.17263,320.0,14,0,8,365,0,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52434112,Serviced apartment in Hong Kong,11171781,Hung Leung,22.278118,114.184059,550.0,1,9,6,80,5,0,0,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52438209,Rental unit in Hong Kong,201252883,Wilson,22.30058,114.24144,600.0,360,4,1,0,0,1,0,0,0,1,1.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52459709,Boutique hotel in Hong Kong,269051930,Mm,22.298593521118164,114.17237854003906,851.0,1,16,18,90,9,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
